SF8 '증강콩깍지' SF 로맨스..."최시원이랑 유이 케미 대박"	뉴시스
유이, 몽환적 분위기+아련 눈빛 발산…여신 그 자체 [화보]	엑스포츠뉴스
‘나 혼자 산다’ 유이, 눕방 라이프 공개…이장우와 재회 [MK★TV컷]	MK스포츠
‘전참시’ 유이, 털털 매력 공개…매니저 “친형보다도 더 형 같아”	스포츠월드
'전참시' 유이, 매니저 장트러블 고통 호소에 "XXX 힘줘!"	MTN
‘개는 훌륭하다’ 유이X남이안, 망고·꼬마·꼬솜이와 견학생 출연	스포츠동아
유이, 주거 취약계층 아동 위한 캠페인서 재능기부…"관심이 곧 시작"	디지틀조선일보
유이, 자기관리의 결과…탄탄한 바디라인	스포츠동아
유이, 주거 취약계층 아동 위한 캠페인서 재능기부…"관심이 곧 시작"	디지틀조선일보
유이, 자기관리의 결과…탄탄한 바디라인	스포츠동아
비밀병기 박정민표 여장, 유이(다만 악)	매일경제
'나혼자산다' 유이, 소파 눕방+배달 음식…셀프 만족도 200% '자취 3년차' 일...	스포츠조선
[투데이 연예톡톡] '나 혼자 산다' 유이, 일상 최초 공개	MBC
유이, 요가복 입고 뽐낸 `무결점 바디라인`	매일경제
[공식] 유이, 불닭소스 모델 발탁…"맵부심의 아이콘"	마이데일리
유이, 제24회 BIFAN GV 참석	한스경제
유이, 파격 세미 누드 공개→다시 찾은 '꿀벅지 시절 건강美'[종합]	스포츠조선
'전참시' 유이, 매니저 '장트러블 소동'…무슨 사연?	MBN
유이, 파격 세미 누드 공개→다시 찾은 '꿀벅지 시절 건강美'[종합]	스포츠조선
'전참시' 유이, 매니저 '장트러블 소동'…무슨 사연?	MBN
싱글즈, 유이 세미 누드 화보 공개	민주신문
유이, 굿네이버스 국내주거지원 캠페인에 재능 기부 참여	컨슈머타임스
'전참시' 유이 여배우 NO, 매니저가 인정한 자유로운 동네 형 '털털'	엑스포츠뉴스
유이, 화보야 영화야? 내추럴 무드의 우아한 가을 시크룩	패션엔
'라스트핏' 배우 유이, '무결점 몸매' 다정다감 운동팁…운동 루틴 '호평' 10...	스포츠조선
‘BIFAN’ 유이 “스크린 통해 본 내 모습 예뻐 보였다”	뉴스엔
“맵부심 있어요”…유이 삼양식품 불닭소스 모델 발탁	국민일보
[개는 훌륭하다] 천사같은 반려견과 함께 등장한 오늘의 견학생~ 배우 유이와...	KBS 연예
배우 유이, 완벽한 바디라인의 파격 세미 누드 화보 공개	문화저널21
'전참시' 유이 매니저, 방송 최초 염밍아웃...장트러블 스릴러 찍은 사연은?	한국일보
“맵부심 있어요”…유이 삼양식품 불닭소스 모델 발탁	국민일보
[개는 훌륭하다] 천사같은 반려견과 함께 등장한 오늘의 견학생~ 배우 유이와...	KBS 연예
유이, '나 혼자 산다'서 집 공개...프로눕방러+속마음 밝혀	이데일리
'나혼산' 유이, '눕방' 라이프→에너지 폭발 '폴 댄스'	스타뉴스
‘나혼산’ 유이, 매운맛 전도사 등극에 광고까지 꿰찼다	뉴스엔
배우 유이, 굿네이버스 '국내주거지원' 캠페인에 재능 기부 참여	한국강사신문
'나혼산' 유이, "내가 나를 먼저 사랑해야 한단 걸 깨달아" 출연 소감	텐아시아
[오마이포토] 'SF8' 유이, 건강미 넘치는 미소	오마이뉴스
삼양식품, `불닭소스` 모델로 유이 발탁	매일경제
[오마이포토] 'SF8' 유이, 건강미 넘치는 미소	오마이뉴스
'나혼산' 유이 첫 등장…'프로눕방녀' 면모→완벽 폴댄스 '반전매력'	스포츠조선
'나 혼자 산다' 유이 "내가 문제가 있나…" 어디서도 털어놓지 못했던 고충 토...	MBC연예
[N시청률] '나 혼자 산다' 뱃살·거식증 악플 이겨낸 유이, 행복한 홀로 라이...	뉴스1
`SF8-증강콩깍지` 오기환 감독이 꼽은 관전 포인트는? 최시원X유이 포옹	매일경제
